offset,c1,c2,c3,c4,backlash_arcmin,stiff_Nm_per_arcmin,ripple_urad,max_pressure_angle_deg,worst_margin_arcmin,min_curv_radius_mm,n_eng
-0.08862,0.01133,0.02050,0.01609,-0.00030,22.176,20.44,45.36,39.85,16.034,2.674,2
-0.09933,0.01335,0.02586,-0.00924,-0.02371,22.204,20.05,134.22,38.30,16.092,2.667,2
-0.09906,-0.00499,0.00356,0.00045,-0.00580,22.919,20.36,51.84,39.05,16.951,2.675,2
-0.08525,0.03121,0.02805,0.00117,-0.01368,23.322,20.17,99.86,38.43,13.145,2.675,2
-0.08525,0.02821,0.01386,-0.00334,-0.01622,23.580,20.57,75.47,39.04,14.369,2.678,2
-0.09845,0.01058,0.01572,-0.00250,-0.01321,23.780,20.17,100.47,38.43,17.869,2.677,2
-0.09209,0.03178,0.03203,0.01065,-0.01288,24.204,20.31,88.23,38.96,15.121,2.680,2
-0.09595,0.02261,0.02050,-0.00924,-0.02065,24.299,20.11,127.37,38.35,17.745,2.677,2
-0.09749,0.01133,0.02050,0.01609,-0.00030,24.437,20.44,47.72,39.55,18.287,2.683,2
-0.08525,0.01607,-0.00693,-0.01145,0.00218,24.696,39.02,31.92,60.18,16.356,2.687,5
-0.09906,0.02261,0.02805,0.00274,-0.01368,24.965,20.17,119.89,38.39,18.998,2.681,2
-0.09906,0.02261,0.02457,0.00237,-0.01368,25.211,20.26,105.24,38.42,19.255,2.683,2
-0.08880,0.01046,-0.01165,-0.01668,-0.00551,25.473,39.49,34.53,63.15,15.829,2.685,5
-0.09179,0.01864,-0.00620,-0.00448,-0.00399,26.804,34.09,41.02,47.77,20.864,2.695,4
-0.09510,0.01437,-0.00693,-0.00320,0.00218,27.341,33.72,31.51,52.77,20.589,2.698,4
-0.09595,0.02261,0.00038,-0.00924,-0.01179,27.540,20.30,65.48,38.97,20.633,2.694,2
-0.09510,0.01437,-0.00693,-0.01315,0.00218,27.796,39.40,35.37,59.05,19.745,2.694,5
-0.09906,0.02439,-0.00693,0.00274,0.00133,28.198,26.32,19.99,50.95,21.634,2.712,3
-0.09906,0.03448,0.01075,-0.00334,-0.01368,29.035,20.31,77.79,38.87,21.027,2.701,2
-0.09510,0.03011,0.00038,-0.00334,-0.00395,29.585,29.02,42.63,45.11,23.565,2.705,3
