X,Y,Z
-14.840619,29.074294,0.000000
-15.286892,29.007317,0.000000
-15.745509,28.883898,0.000000
-16.200746,28.703498,0.000000
-16.634668,28.465289,0.000000
-17.030854,28.173052,0.000000
-17.382284,27.845643,0.000000
-17.680495,27.496349,0.000000
-17.920749,27.140097,0.000000
-18.102345,26.792333,0.000000
-18.228619,26.467740,0.000000
-18.306604,26.178780,0.000000
-18.346255,25.933860,0.000000
-18.359084,25.734554,0.000000
-18.355787,25.569845,0.000000
-18.342150,25.399427,0.000000
-18.318161,25.085553,0.000000
-18.462571,24.047999,0.000000
-20.326073,22.386747,0.000000
-21.484962,22.387650,0.000000
-21.813386,22.469904,0.000000
-21.982473,22.514364,0.000000
-22.142439,22.546813,0.000000
-22.337530,22.569759,0.000000
-22.581771,22.575018,0.000000
-22.876290,22.551061,0.000000
-23.214956,22.486523,0.000000
-23.586994,22.372107,0.000000
-23.978684,22.201706,0.000000
-24.374757,21.973030,0.000000
-24.759665,21.687848,0.000000
-25.118740,21.351899,0.000000
-25.432853,20.969256,0.000000
-25.693527,20.553859,0.000000
-25.899000,20.124098,0.000000
-26.046770,19.695513,0.000000
-26.138402,19.283653,0.000000
-26.179366,18.902903,0.000000
-26.178518,18.565282,0.000000
-26.147175,18.279150,0.000000
-26.097610,18.047671,0.000000
-26.040513,17.866345,0.000000
-25.980028,17.717260,0.000000
-25.901959,17.549723,0.000000
-25.745817,17.186174,0.000000
-25.615274,15.781912,0.000000
-27.125891,13.889302,0.000000
-27.953988,13.675348,0.000000
-28.227926,13.650531,0.000000
-28.392227,13.633862,0.000000
-28.558297,13.606028,0.000000
-28.758227,13.554412,0.000000
-28.998477,13.466675,0.000000
-29.274261,13.332088,0.000000
-29.574894,13.142800,0.000000
-29.886543,12.894634,0.000000
-30.194070,12.587474,0.000000
-30.482495,12.225296,0.000000
-30.738218,11.815903,0.000000
-30.950036,11.370387,0.000000
-31.099079,10.898567,0.000000
-31.189132,10.418897,0.000000
-31.222716,9.948152,0.000000
-31.203688,9.501573,0.000000
-31.139633,9.092777,0.000000
-31.041235,8.732734,0.000000
-30.921298,8.428819,0.000000
-30.793317,8.183935,0.000000
-30.669335,7.995520,0.000000
-30.556223,7.853837,0.000000
-30.447604,7.737110,0.000000
-30.300966,7.591408,0.000000
-29.962457,7.207556,0.000000
-29.438515,5.452259,0.000000
-30.474304,3.577320,0.000000
-31.021350,3.252829,0.000000
-31.231035,3.155746,0.000000
-31.374660,3.084260,0.000000
-31.525491,2.995220,0.000000
-31.701778,2.868589,0.000000
-31.902373,2.691897,0.000000
-32.117744,2.457786,0.000000
-32.334581,2.163567,0.000000
-32.538354,1.811035,0.000000
-32.715039,1.406160,0.000000
-32.852421,0.958570,0.000000
-32.941093,0.480841,0.000000
-32.974802,-0.012395,0.000000
-32.937923,-0.505223,0.000000
-32.846644,-0.981780,0.000000
-32.707046,-1.427511,0.000000
-32.528698,-1.829970,0.000000
-32.323929,-2.179695,0.000000
-32.106821,-2.470915,0.000000
-31.891893,-2.702054,0.000000
-31.692332,-2.876028,0.000000
-31.517390,-3.000436,0.000000
-31.367595,-3.088036,0.000000
-31.223160,-3.159425,0.000000
-31.005921,-3.260202,0.000000
-30.426891,-3.613649,0.000000
-29.432027,-5.596874,0.000000
-29.988798,-7.242196,0.000000
-30.310784,-7.601192,0.000000
