X,Y,Z
-31.121624,-10.932529,0.000000
-30.965760,-11.402574,0.000000
-30.757743,-11.849412,0.000000
-30.505758,-12.259479,0.000000
-30.221164,-12.621786,0.000000
-29.917674,-12.928659,0.000000
-29.610329,-13.176272,0.000000
-29.314259,-13.364905,0.000000
-29.043206,-13.498893,0.000000
-28.807650,-13.586230,0.000000
-28.611984,-13.637750,0.000000
-28.448932,-13.665845,0.000000
-28.284306,-13.683192,0.000000
-27.999133,-13.710550,0.000000
-27.117504,-13.957336,0.000000
-25.659826,-15.943151,0.000000
-25.819039,-17.257772,0.000000
-25.967817,-17.601479,0.000000
-26.042764,-17.765112,0.000000
-26.101206,-17.914065,0.000000
-26.155887,-18.096407,0.000000
-26.202132,-18.329134,0.000000
-26.229087,-18.616267,0.000000
-26.224488,-18.954317,0.000000
-26.177133,-19.334676,0.000000
-26.078343,-19.745140,0.000000
-25.922868,-20.171193,0.000000
-25.709377,-20.597216,0.000000
-25.440607,-21.007662,0.000000
-25.123202,-21.388156,0.000000
-24.767271,-21.726494,0.000000
-24.385698,-22.013467,0.000000
-23.993253,-22.243487,0.000000
-23.605534,-22.414949,0.000000
-23.237800,-22.530304,0.000000
-22.903692,-22.595803,0.000000
-22.613827,-22.620851,0.000000
-22.374063,-22.616861,0.000000
-22.182810,-22.595293,0.000000
-22.025106,-22.564033,0.000000
-21.854112,-22.519764,0.000000
-21.508691,-22.435737,0.000000
-20.269082,-22.468603,0.000000
-18.478771,-24.197119,0.000000
-18.363099,-25.169986,0.000000
-18.385973,-25.468844,0.000000
-18.397996,-25.635904,0.000000
-18.399282,-25.800152,0.000000
-18.383634,-25.999628,0.000000
-18.340224,-26.244485,0.000000
-18.257579,-26.532704,0.000000
-18.125885,-26.855605,0.000000
-17.938311,-27.200553,0.000000
-17.691759,-27.552763,0.000000
-17.387179,-27.896759,0.000000
-17.029551,-28.217644,0.000000
-16.627555,-28.502212,0.000000
-16.192990,-28.739895,0.000000
-15.739971,-28.923488,0.000000
-15.283969,-29.049642,0.000000
-14.840742,-29.119076,0.000000
-14.425212,-29.136489,0.000000
-14.050338,-29.110153,0.000000
-13.726017,-29.051154,0.000000
-13.457967,-28.972193,0.000000
-13.246414,-28.885731,0.000000
-13.083931,-28.800840,0.000000
-12.949913,-28.716667,0.000000
-12.790091,-28.605355,0.000000
-12.405435,-28.363112,0.000000
-10.789118,-28.060014,0.000000
-8.894899,-29.352508,0.000000
-8.620138,-30.022696,0.000000
-8.555400,-30.261830,0.000000
-8.509692,-30.415834,0.000000
-8.449819,-30.575251,0.000000
-8.358591,-30.764852,0.000000
-8.223171,-30.987017,0.000000
-8.034294,-31.234283,0.000000
-7.786624,-31.494322,0.000000
-7.479019,-31.752608,0.000000
